Transaction Date,Transaction Type,Fee Name,Transaction Number,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId
10 Feb 2021,Orders-Daraz Fees,Commission,PK2NBNJY3NX-WL3WFJW-210210,M2S2 Premium Closet Organizer Hanging Storage Bag Wardrobe Cloth Organizer 5/6 Layers Shelf Foldable Clothing rack Storage garment Rack Shelves houseware,m2s2 closet organizer,185166718_PK-1370096256,-36.30,4.18,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124716002537029,124716002637029,Delivered,PK-TCS,standard,Dropshipping,124716002637029,,
10 Feb 2021,Orders-Other Credit,Shipping Fee (Paid By Customer),PK2NBNJY3NX-6GPG9B2-210210,M2S2 Premium Closet Organizer Hanging Storage Bag Wardrobe Cloth Organizer 5/6 Layers Shelf Foldable Clothing rack Storage garment Rack Shelves houseware,m2s2 closet organizer,185166718_PK-1370096256,130.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124716002537029,124716002637029,Delivered,PK-TCS,standard,Dropshipping,124716002637029,,
10 Feb 2021,Orders-Item Charges,Item Price Credit,PK2NBNJY3NX-CPUQJHV-210210,M2S2 Premium Closet Organizer Hanging Storage Bag Wardrobe Cloth Organizer 5/6 Layers Shelf Foldable Clothing rack Storage garment Rack Shelves houseware,m2s2 closet organizer,185166718_PK-1370096256,249.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124716002537029,124716002637029,Delivered,PK-TCS,standard,Dropshipping,124716002637029,,
10 Feb 2021,Orders-Daraz Fees,Automatic Shipping Fee,PK2NBNJY3NX-EZXSAIL-210210,M2S2 Premium Closet Organizer Hanging Storage Bag Wardrobe Cloth Organizer 5/6 Layers Shelf Foldable Clothing rack Storage garment Rack Shelves houseware,m2s2 closet organizer,185166718_PK-1370096256,-146.90,16.90,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124716002537029,124716002637029,Delivered,PK-TCS,standard,Dropshipping,124716002637029,,
10 Feb 2021,Orders-Daraz Fees,Payment Fee,PK2NBNJY3NX-RQND2Q4-210210,M2S2 Premium Closet Organizer Hanging Storage Bag Wardrobe Cloth Organizer 5/6 Layers Shelf Foldable Clothing rack Storage garment Rack Shelves houseware,m2s2 closet organizer,185166718_PK-1370096256,-3.51,0.40,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124716002537029,124716002637029,Delivered,PK-TCS,standard,Dropshipping,124716002637029,,
10 Feb 2021,Orders-Daraz Fees,Auto. Shipping fee subsidy (by Daraz),PK2NBNJY3NX-O1385ER-210210,M2S2 Premium Closet Organizer Hanging Storage Bag Wardrobe Cloth Organizer 5/6 Layers Shelf Foldable Clothing rack Storage garment Rack Shelves houseware,m2s2 closet organizer,185166718_PK-1370096256,0.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124716002537029,124716002637029,Delivered,PK-TCS,standard,Dropshipping,124716002637029,,
10 Feb 2021,Orders-Daraz Fees,Commission,PK2NBNJY3NX-9SD0KKJ-210210,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,-8.60,0.99,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124866465968081,124866466468081,Delivered,PK-TCS,standard,Dropshipping,124866466468081,,
10 Feb 2021,Orders-Other Credit,Shipping Fee (Paid By Customer),PK2NBNJY3NX-02SHF1K-210210,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,39.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124866465968081,124866466468081,Delivered,PK-TCS,standard,Dropshipping,124866466468081,,
10 Feb 2021,Orders-Item Charges,Item Price Credit,PK2NBNJY3NX-5RJ9UTS-210210,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,59.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124866465968081,124866466468081,Delivered,PK-TCS,standard,Dropshipping,124866466468081,,
10 Feb 2021,Orders-Daraz Fees,Automatic Shipping Fee,PK2NBNJY3NX-SHGKKFS-210210,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,-44.07,5.07,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124866465968081,124866466468081,Delivered,PK-TCS,standard,Dropshipping,124866466468081,,
